# Unixtime of reading, Heart Rate RPM
1667862095,55.000000
1667862096,55.000000
1667862097,55.000000
1667862098,55.000000
1667862099,55.000000
1667862101,55.000000
1667862101,55.000000
1667862102,55.000000
1667862103,55.000000
1667862104,56.000000
1667862105,56.000000
1667862106,56.000000
1667862107,56.000000
1667862108,56.000000
1667862109,57.000000
1667862110,57.000000
1667862111,58.000000
1667862112,58.000000
1667862113,58.000000
1667862114,58.000000
1667862115,58.000000
1667862116,58.000000
1667862117,57.000000
1667862118,57.000000
1667862119,57.000000
1667862120,57.000000
1667862121,58.000000
1667862122,57.000000
1667862123,57.000000
1667862124,57.000000
1667862125,56.000000
1667862126,56.000000
1667862127,56.000000
1667862128,56.000000
1667862129,56.000000
1667862130,56.000000
1667862131,57.000000
1667862132,57.000000
1667862133,57.000000
1667862134,57.000000
1667862135,56.000000
1667862136,56.000000
1667862137,56.000000
1667862138,56.000000
1667862139,56.000000
1667862141,56.000000
1667862141,56.000000
1667862142,56.000000
1667862143,56.000000
1667862144,56.000000
1667862145,56.000000
1667862146,56.000000
1667862147,55.000000
1667862148,55.000000
1667862149,55.000000
1667862150,55.000000
1667862151,55.000000
1667862152,55.000000
1667862153,55.000000
1667862154,55.000000
1667862155,55.000000
1667862156,55.000000
1667862157,55.000000
1667862158,55.000000
1667862159,55.000000
1667862160,55.000000
1667862161,55.000000
1667862162,55.000000
1667862163,55.000000
1667862164,55.000000
1667862165,54.000000
1667862166,54.000000
1667862167,54.000000
1667862168,55.000000
1667862169,55.000000
1667862170,56.000000
1667862171,56.000000
1667862172,57.000000
1667862174,57.000000
1667862174,59.000000
1667862175,59.000000
1667862176,60.000000
1667862177,60.000000
1667862178,61.000000
1667862179,62.000000
1667862180,62.000000
1667862181,62.000000
1667862182,61.000000
1667862183,61.000000
1667862184,61.000000
1667862185,60.000000
1667862186,60.000000
1667862188,60.000000
1667862188,59.000000
1667862189,59.000000
1667862190,58.000000
1667862191,57.000000
1667862192,57.000000
1667862193,56.000000
1667862194,56.000000
1667862195,56.000000
1667862196,56.000000
1667862197,57.000000
1667862198,57.000000
1667862199,57.000000
1667862200,57.000000
1667862201,56.000000
1667862202,56.000000
1667862203,56.000000
1667862204,55.000000
1667862205,55.000000
1667862206,55.000000
1667862207,55.000000
1667862208,55.000000
1667862209,55.000000
1667862210,55.000000
1667862211,55.000000
1667862212,55.000000
1667862213,55.000000
1667862214,55.000000
1667862215,55.000000
1667862216,55.000000
1667862217,56.000000
1667862218,56.000000
1667862219,56.000000
1667862220,56.000000
1667862221,56.000000
1667862222,56.000000
1667862223,57.000000
1667862224,57.000000
1667862225,57.000000
1667862226,57.000000
1667862227,57.000000
1667862228,57.000000
1667862229,57.000000
1667862231,56.000000
1667862231,56.000000
1667862232,56.000000
1667862233,56.000000
1667862234,56.000000
1667862235,57.000000
1667862236,57.000000
